[Gene ID]	[Transcript ID]	[Product Description]	[Gene Type]	[Gene Name or Symbol]	[Entrez Gene ID]	[UniProt ID]	
PF3D7_0100100	PF3D7_0100100.1	erythrocyte membrane protein 1, PfEMP1	protein coding	VAR	N/A	N/A	
PF3D7_0100200	PF3D7_0100200.1	rifin	protein coding	RIF	N/A	N/A	
PF3D7_0100300	PF3D7_0100300.1	erythrocyte membrane protein 1, PfEMP1	protein coding	VAR	N/A	N/A	
PF3D7_0100400	PF3D7_0100400.1	rifin	protein coding	RIF	N/A	N/A	
PF3D7_0100500	PF3D7_0100500.1	erythrocyte membrane protein 1 (PfEMP1), exon 1, pseudogene	protein coding	N/A	N/A	N/A	
PF3D7_0100600	PF3D7_0100600.1	rifin	protein coding	RIF	N/A	N/A	
PF3D7_0100700	PF3D7_0100700.1	Plasmodium exported protein, unknown function, fragment	protein coding	N/A	N/A	N/A	
PF3D7_0100800	PF3D7_0100800.1	rifin	protein coding	RIF	N/A	N/A	
PF3D7_0100900	PF3D7_0100900.1	rifin	protein coding	RIF	N/A	N/A	
PF3D7_0101000	PF3D7_0101000.1	rifin	protein coding	RIF	N/A	N/A	
PF3D7_0101100	PF3D7_0101100.1	exported protein family 4	protein coding	EPF4	N/A	N/A	
PF3D7_0101200	PF3D7_0101200.1	exported protein family 3	protein coding	EPF3	N/A	N/A	
PF3D7_0101300	PF3D7_0101300.1	Pfmc-2TM Maurer's cleft two transmembrane protein	protein coding	MC-2TM	N/A	N/A	
PF3D7_0101400	PF3D7_0101400.1	exported protein family 1, pseudogene	protein coding	EPF1	N/A	N/A	
PF3D7_0101500	PF3D7_0101500.1	erythrocyte membrane protein 1 (PfEMP1), exon 2, pseudogene	protein coding	VAR	N/A	N/A	
PF3D7_0101600	PF3D7_0101600.1	rifin	protein coding	RIF	N/A	N/A	
PF3D7_0101700	PF3D7_0101700.1	erythrocyte membrane protein 1 (PfEMP1), exon 2, pseudogene	protein coding	VAR	N/A	N/A	
PF3D7_0101800	PF3D7_0101800.1	stevor	protein coding	N/A	N/A	N/A	
PF3D7_0101900	PF3D7_0101900.1	rifin	protein coding	RIF	N/A	N/A	
PF3D7_0102000	PF3D7_0102000.1	Plasmodium exported protein (PHISTa), unknown function, pseudogene	protein coding	N/A	N/A	N/A	
PF3D7_0102100	PF3D7_0102100.1	stevor, pseudogene	protein coding	N/A	N/A	N/A	
PF3D7_0102200	PF3D7_0102200.1	ring-infected erythrocyte surface antigen	protein coding	RESA	N/A	N/A	
PF3D7_0102300	PF3D7_0102300.1	Plasmodium exported protein, unknown function	protein coding	N/A	N/A	N/A	
PF3D7_0102400	PF3D7_0102400.1	lysophospholipase, putative, pseudogene	protein coding	N/A	N/A	N/A	
PF3D7_0102500	PF3D7_0102500.1	erythrocyte binding antigen-181	protein coding	EBA181	N/A	N/A	
PF3D7_0102600	PF3D7_0102600.1	serine/threonine protein kinase, FIKK family	protein coding	FIKK1	N/A	N/A	
PF3D7_0102700	PF3D7_0102700.1	merozoite-associated tryptophan-rich antigen	protein coding	MaTrA	N/A	N/A	
PF3D7_0102800	PF3D7_0102800.1	conserved Plasmodium protein, unknown function	protein coding	N/A	N/A	N/A	
PF3D7_0102900	PF3D7_0102900.1	aspartate--tRNA ligase	protein coding	N/A	N/A	N/A	
PF3D7_0103000	PF3D7_0103000.1	vacuolar protein sorting-associated protein VTA1, putative	protein coding	N/A	N/A	N/A	
PF3D7_0103100	PF3D7_0103100.1	vacuolar protein sorting-associated protein 51, putative	protein coding	VPS51	N/A	N/A	
PF3D7_0103200	PF3D7_0103200.1	nucleoside transporter 4	protein coding	NT4	N/A	N/A	
PF3D7_0103300	PF3D7_0103300.1	conserved Plasmodium protein, unknown function	protein coding	N/A	N/A	N/A	
PF3D7_0103400	PF3D7_0103400.1	zinc-carboxypeptidase, putative	protein coding	N/A	N/A	N/A	
PF3D7_0103500	PF3D7_0103500.1	conserved Plasmodium protein, unknown function	protein coding	N/A	N/A	N/A	
PF3D7_0103600	PF3D7_0103600.1	ATP-dependent RNA helicase, putative	protein coding	N/A	N/A	N/A	
PF3D7_0103700	PF3D7_0103700.1	L-seryl-tRNA(Sec) kinase, putative	protein coding	PSTK	N/A	N/A	
PF3D7_0103800	PF3D7_0103800.1	actin-related protein	protein coding	ARP1	N/A	N/A	
PF3D7_0103900	PF3D7_0103900.1	parasite-infected erythrocyte surface protein	protein coding	PIESP15	N/A	N/A	
PF3D7_0104000	PF3D7_0104000.1	thrombospondin-related sporozoite protein	protein coding	TRSP	N/A	N/A	
PF3D7_0104100	PF3D7_0104100.1	conserved Plasmodium membrane protein, unknown function	protein coding	N/A	N/A	N/A	
PF3D7_0104200	PF3D7_0104200.1	StAR-related lipid transfer protein	protein coding	N/A	N/A	N/A	
PF3D7_0104300	PF3D7_0104300.1	ubiquitin carboxyl-terminal hydrolase 1, putative	protein coding	UBP1	N/A	N/A	
PF3D7_0104400	PF3D7_0104400.1	4-hydroxy-3-methylbut-2-enyl diphosphate reductase	protein coding	LytB	N/A	N/A	
PF3D7_0104500	PF3D7_0104500.1	conserved protein, unknown function	protein coding	N/A	N/A	N/A	
PF3D7_0104600	PF3D7_0104600.1	conserved Plasmodium protein, unknown function	protein coding	N/A	N/A	N/A	
PF3D7_0104700	PF3D7_0104700.1	major facilitator superfamily-related transporter, putative	protein coding	MFR2	N/A	N/A	
PF3D7_0104800	PF3D7_0104800.1	novel putative transporter 1, putative	protein coding	NPT1	N/A	N/A	
PF3D7_0104900	PF3D7_0104900.1	RNase MRP	non protein coding	N/A	N/A	N/A	
PF3D7_0105000	PF3D7_0105000.1	unspecified product	non protein coding	N/A	N/A	N/A	
PF3D7_0105100	PF3D7_0105100.1	conserved Plasmodium protein, unknown function	protein coding	N/A	N/A	N/A	
PF3D7_0105200	PF3D7_0105200.1	RAP protein, putative	protein coding	N/A	N/A	N/A	
PF3D7_0105300	PF3D7_0105300.1	cyclase-associated protein	protein coding	CAP	N/A	N/A	
PF3D7_0105400	PF3D7_0105400.1	conserved Plasmodium protein, unknown function	protein coding	N/A	N/A	N/A	
