Gene,Order ,type,Up regulated in Cluster 2?,Description
PF13_0141,1,Glycolisis,Y,L-Lactate dehydrogenase     
PF10_0155,2,Glycolisis,Y,Enolase      
PF14_0378,3,Glycolisis,Y,Triose-phosphate isomerase     
PFI0755c,4,Glycolisis,Y,"6-Phosphofructokinase, putative     "
PFF1155w,5,Glycolisis,Y,Hexokinase      
PFF1300w,6,Glycolisis,Y,"Pyruvate kinase, putative    "
PF14_0598,7,Glycolisis,Y,Glyceraldehyde-3-phosphate dehydrogenase     
PF11_0208,8,Glycolisis,Y,"Phosphoglycerate mutase, putative    "
PFI1105w,9,Glycolisis,Y,Phosphoglycerate kinase     
PF14_0425,10,Glycolisis,Y,Fructose-bisphosphate aldolase     
PF14_0341,11,Glycolisis,Y,Glucose-6-phosphate isomerase     
PFL0780w,12,Glycolisis,Y,"Glycerol-3-phosphate dehydrogenase, putative    "
PFD0660w,13,Glycolisis,N,Hypothetical protein     
PF11_0338,14,Glycolisis,N,Aquaglyceroporin      
PF13_0144,15,Glycolisis,N,"Oxidoreductase, putative     "
PF11_0157,16,Glycolisis,N,"Glycerol-3-phosphate dehydrogenase, putative    "
PFC0831w,17,Glycolisis,N,"Triosephophate isomerase, putative    "
PF11_0294,18,Glycolisis,N,"ATP-dependent phosphofructokinase, putative    "
PF13_0269,19,Glycolisis,N,"Glycerol kinase, putative    "
PF10_0122,20,Glycolisis,N,"Phosphoglucomutase, putative     "
PF13_0121,21,Tricarboxylic acid cycle,N,"Dihydrolipoamide succinyltransferase, putative    "
PFF0895w,22,Tricarboxylic acid cycle,N,"Malate dehydrogenase, putative    "
PFL0630w,23,Tricarboxylic acid cycle,N,Iron-sulphur subunit of succinate dehydrogenase  
PF14_0295,24,Tricarboxylic acid cycle,N,"ATP-specific succinyl-CoA synthetase _ subunit, putative "
PF11_0097,25,Tricarboxylic acid cycle,N,"Succinyl-CoA synthetase _ subunit, putative  "
PFC0170c,26,Tricarboxylic acid cycle,N,"Dihydrolipoamide acyltransferase, putative    "
PF13_0229,27,Tricarboxylic acid cycle,N,IRP-like protein     
PF10_0218,28,Tricarboxylic acid cycle,N,"Citrate synthase, mitochondrial precursor, putative  "
PF10_0334,29,Tricarboxylic acid cycle,N,Flavoprotein subunit of succinate dehydrogenase  
PFL1550w,30,Tricarboxylic acid cycle,N,Lipoamide dehydrogenase     
PF08_0045,31,Tricarboxylic acid cycle,N,"2-Oxoglutarate dehydrogenase e1 component, mitochondrial precursor "
PFF0455w,32,Tricarboxylic acid cycle,N,"Citrate synthase-like protein, putative   "
PFI1340w,33,Tricarboxylic acid cycle,N,"Fumarate hydratase, putative    "
PF13_0242,34,Tricarboxylic acid cycle,N,"Isocitrate dehydrogenase (NADP), mitochondrial precursor  "
PF14_0421,35,Fatty acid metabolism,N,"Hypothetical protein, conserved    "
PF08_0066,36,Fatty acid metabolism,N,"Lipoamide dehydrogenase, putative    "
PFB0505c,37,Fatty acid metabolism,N,"_-Ketoacyl-acyl carrier protein synthase III precursor, putative"
PF11_0256,38,Fatty acid metabolism,N,"Pyruvate dehydrogenase E1 component, _ subunit, putative"
PFF0730c,39,Fatty acid metabolism,N,Enoyl-acyl carrier reductase    
PF13_0100,40,Fatty acid metabolism,N,"Glycerol-3-phosphate acyltransferase, putative    "
PF14_0441,41,Fatty acid metabolism,N,"Pyruvate dehydrogenase E1 _ subunit, putative "
PF14_0664,42,Fatty acid metabolism,N,"Biotin carboxylase subunit of acetyl-CoA carboxylase, putative"
PFE0555w,43,Fatty acid metabolism,N,"Stearoyl-CoA desaturase (acyl-CoA desaturase, faty acid desaturase),"
PF13_0066,44,Fatty acid metabolism,N,Malonyl CoA-acyl carrier    
PF10_0363,45,Fatty acid metabolism,N,"Pyruvate kinase, putative    "
PFC0170c,46,Fatty acid metabolism,N,"Dihydrolipoamide acyltransferase, putative    "
PFE1510c,47,Fatty acid metabolism,N,"Phosphoenolpyruvate/phosphate translocator precursor, putative   "
PF11_0157,48,Fatty acid metabolism,N,"Glycerol-3-phosphate dehydrogenase, putative    "
PFB0385w,49,Fatty acid metabolism,N,"Acyl carrier protein, putative   "
PFF1275c,50,Fatty acid metabolism,N,3-oxoacyl-(acyl-carrier protein) synthase I/II   
PF13_0128,51,Fatty acid metabolism,N,_-Hydroxyacyl-ACP dehydratase precursor    
PF10_0407,52,Fatty acid metabolism,N,"Dihydrolipoamide acetyltransferase, putative    "
PFI1125c,53,Fatty acid metabolism,N,"3-Oxoacyl-(acyl-carrier protein) reductase, putative   "
PFL0780w,54,Fatty acid metabolism,N,"Glycerol-3-phosphate dehydrogenase, putative    "
PFF0290w,55,Fatty acid metabolism,N,"Long-chain polyunsaturated fatty acid elongation enzyme, putative"
