KEGG_ID	Genes
ec00230__PK__KEGG	"PF3D7_0110400,PF3D7_0110900,PF3D7_0205500,PF3D7_0206600,PF3D7_0206700,PF3D7_0215700,PF3D7_0303300,PF3D7_0305800,PF3D7_0308000,PF3D7_0318200,PF3D7_0411900,PF3D7_0413500,PF3D7_0509400,PF3D7_0513300,PF3D7_0520600,PF3D7_0605600,PF3D7_0625300,PF3D7_0626800,PF3D7_0630300,PF3D7_0708100,PF3D7_0720800,PF3D7_0802600,PF3D7_0816900,PF3D7_0829500,PF3D7_0910500,PF3D7_0910800,PF3D7_0910900,PF3D7_0920800,PF3D7_0923000,PF3D7_0928900,PF3D7_0931900,PF3D7_1008900,PF3D7_1012400,PF3D7_1012500,PF3D7_1012600,PF3D7_1015800,PF3D7_1017000,PF3D7_1027400,PF3D7_1029600,PF3D7_1037000,PF3D7_1037100,PF3D7_1104700,PF3D7_1104800,PF3D7_1125300,PF3D7_1128500,PF3D7_1134700,PF3D7_1138400,PF3D7_1140300,PF3D7_1143300,PF3D7_1206100,PF3D7_1206600,PF3D7_1209500,PF3D7_1213700,PF3D7_1234300,PF3D7_1239000,PF3D7_1304900,PF3D7_1307600,PF3D7_1313400,PF3D7_1321500,PF3D7_1321600,PF3D7_1322000,PF3D7_1325100,PF3D7_1327800,PF3D7_1329000,PF3D7_1329400,PF3D7_1332400,PF3D7_1344200,PF3D7_1349100,PF3D7_1352700,PF3D7_1354500,PF3D7_1360500,PF3D7_1364800,PF3D7_1366500,PF3D7_1402000,PF3D7_1404000,PF3D7_1404600,PF3D7_1405600,PF3D7_1411400,PF3D7_1415200,PF3D7_1421400,PF3D7_1425400,PF3D7_1431300,PF3D7_1431800,PF3D7_1436900,PF3D7_1437200,PF3D7_1438700,PF3D7_1440500,PF3D7_1448800,PF3D7_1463200,PF3D7_1463300,PF3D7_1463400,PF3D7_1470500,PF3D7_1472700,PF3D7_API04200,PF3D7_API04300,PF3D7_API04400,"
ec00240__PK__KEGG	"PF3D7_0110400,PF3D7_0111500,PF3D7_0205500,PF3D7_0206600,PF3D7_0215700,PF3D7_0219500,PF3D7_0303300,PF3D7_0308000,PF3D7_0318200,PF3D7_0411900,PF3D7_0415600,PF3D7_0417200,PF3D7_0422000,PF3D7_0509400,PF3D7_0512700,PF3D7_0513300,PF3D7_0516300,PF3D7_0520600,PF3D7_0521500,PF3D7_0603300,PF3D7_0605600,PF3D7_0625300,PF3D7_0626100,PF3D7_0630300,PF3D7_0708100,PF3D7_0720800,PF3D7_0829500,PF3D7_0908700,PF3D7_0910500,PF3D7_0910900,PF3D7_0914000,PF3D7_0923000,PF3D7_0923800,PF3D7_1015800,PF3D7_1017000,PF3D7_1023200,PF3D7_1027400,PF3D7_1035000,PF3D7_1037000,PF3D7_1104700,PF3D7_1104800,PF3D7_1125300,PF3D7_1127100,PF3D7_1134700,PF3D7_1143300,PF3D7_1204600,PF3D7_1206100,PF3D7_1206600,PF3D7_1213700,PF3D7_1227900,PF3D7_1228500,PF3D7_1234300,PF3D7_1251300,PF3D7_1304900,PF3D7_1307600,PF3D7_1308200,PF3D7_1322000,PF3D7_1328800,PF3D7_1329000,PF3D7_1332400,PF3D7_1344800,PF3D7_1349100,PF3D7_1349400,PF3D7_1364800,PF3D7_1366500,PF3D7_1404000,PF3D7_1405600,PF3D7_1410200,PF3D7_1411400,PF3D7_1415200,PF3D7_1417500,PF3D7_1421400,PF3D7_1425400,PF3D7_1431800,PF3D7_1437200,PF3D7_1438700,PF3D7_1448800,PF3D7_1451400,PF3D7_1463200,PF3D7_1463300,PF3D7_1463400,PF3D7_1472700,PF3D7_1472900,PF3D7_API04200,PF3D7_API04300,PF3D7_API04400,"
ec00380__PK__KEGG	"PF3D7_0215100,PF3D7_0218300,PF3D7_0303700,PF3D7_0303800,PF3D7_0308600,PF3D7_0407100,PF3D7_0409300,PF3D7_0422000,PF3D7_0519300,PF3D7_0602500,PF3D7_0603400,PF3D7_0622200,PF3D7_0622500,PF3D7_0624500,PF3D7_0627300,PF3D7_0817000,PF3D7_0820700,PF3D7_0821500,PF3D7_0826100,PF3D7_0826400,PF3D7_0905700,PF3D7_0908600,PF3D7_0912800,PF3D7_0914300,PF3D7_0915100,PF3D7_0916500,PF3D7_0916600,PF3D7_0925200,PF3D7_1004300,PF3D7_1017200,PF3D7_1018600,PF3D7_1020400,PF3D7_1022100,PF3D7_1027200,PF3D7_1119100,PF3D7_1128400,PF3D7_1129400,PF3D7_1133800,PF3D7_1137400,PF3D7_1145700,PF3D7_1230600,PF3D7_1235300,PF3D7_1235500,PF3D7_1236700,PF3D7_1237000,PF3D7_1245300,PF3D7_1246500,PF3D7_1248100,PF3D7_1249900,PF3D7_1309600,PF3D7_1320800,PF3D7_1332500,PF3D7_1354300,PF3D7_1360700,PF3D7_1406900,PF3D7_1407100,PF3D7_1408900,PF3D7_1411700,PF3D7_1414100,PF3D7_1414500,PF3D7_1415800,PF3D7_1422500,PF3D7_1423100,PF3D7_1425200,PF3D7_1429400,PF3D7_1437000,PF3D7_1439700,PF3D7_1450600,PF3D7_1450900,PF3D7_1451300,PF3D7_1455200,PF3D7_1455900,"
ec00627__PK__KEGG	"PF3D7_0202900,PF3D7_0215000,PF3D7_0215900,PF3D7_0218300,PF3D7_0303400,PF3D7_0407100,PF3D7_0409300,PF3D7_0528400,PF3D7_0609800,PF3D7_0619500,PF3D7_0622200,PF3D7_0622500,PF3D7_0714300,PF3D7_0715000,PF3D7_0804600,PF3D7_0805400,PF3D7_0805900,PF3D7_0821500,PF3D7_0908600,PF3D7_0912400,PF3D7_0912800,PF3D7_0914200,PF3D7_0914300,PF3D7_0916500,PF3D7_0916600,PF3D7_0918000,PF3D7_0925200,PF3D7_0932500,PF3D7_1017200,PF3D7_1018000,PF3D7_1018600,PF3D7_1020400,PF3D7_1022100,PF3D7_1027200,PF3D7_1027900,PF3D7_1035000,PF3D7_1111500,PF3D7_1115900,PF3D7_1119100,PF3D7_1121000,PF3D7_1129400,PF3D7_1133800,PF3D7_1145700,PF3D7_1226100,PF3D7_1230600,PF3D7_1235500,PF3D7_1236700,PF3D7_1246500,PF3D7_1248100,PF3D7_1249900,PF3D7_1309600,PF3D7_1321400,PF3D7_1322500,PF3D7_1324700,PF3D7_1332500,PF3D7_1354300,PF3D7_1403900,PF3D7_1406900,PF3D7_1407100,PF3D7_1411700,PF3D7_1414500,PF3D7_1415800,PF3D7_1417500,PF3D7_1425200,PF3D7_1429400,PF3D7_1430300,PF3D7_1439700,PF3D7_1450600,PF3D7_1455200,"
ec00253__PK__KEGG	"PF3D7_0202900,PF3D7_0215900,PF3D7_0218300,PF3D7_0303400,PF3D7_0407100,PF3D7_0409300,PF3D7_0416100,PF3D7_0422000,PF3D7_0528400,PF3D7_0609800,PF3D7_0622200,PF3D7_0622500,PF3D7_0626100,PF3D7_0628800,PF3D7_0714300,PF3D7_0805400,PF3D7_0821500,PF3D7_0908600,PF3D7_0912800,PF3D7_0914200,PF3D7_0914300,PF3D7_0916500,PF3D7_0916600,PF3D7_0925200,PF3D7_0932500,PF3D7_1018600,PF3D7_1020400,PF3D7_1022100,PF3D7_1026900,PF3D7_1027200,PF3D7_1027900,PF3D7_1115900,PF3D7_1119100,PF3D7_1121000,PF3D7_1129400,PF3D7_1133800,PF3D7_1145700,PF3D7_1230600,PF3D7_1235500,PF3D7_1236700,PF3D7_1246500,PF3D7_1248100,PF3D7_1249900,PF3D7_1309600,PF3D7_1321400,PF3D7_1322500,PF3D7_1323000,PF3D7_1324700,PF3D7_1331600,PF3D7_1332500,PF3D7_1354300,PF3D7_1406900,PF3D7_1407100,PF3D7_1411700,PF3D7_1415800,PF3D7_1429400,PF3D7_1439700,PF3D7_1450600,PF3D7_1455200,"
ec00564__PK__KEGG	"PF3D7_0102400,PF3D7_0109850,PF3D7_0202900,PF3D7_0209100,PF3D7_0215900,PF3D7_0218600,PF3D7_0301300,PF3D7_0303200,PF3D7_0303400,PF3D7_0306400,PF3D7_0528400,PF3D7_0609400,PF3D7_0609800,PF3D7_0625000,PF3D7_0628300,PF3D7_0629300,PF3D7_0702200,PF3D7_0709700,PF3D7_0714300,PF3D7_0731800,PF3D7_0805400,PF3D7_0805600,PF3D7_0814400,PF3D7_0820200,PF3D7_0914200,PF3D7_0924000,PF3D7_0927900,PF3D7_0930500,PF3D7_0932500,PF3D7_0936700,PF3D7_0937200,PF3D7_1001400,PF3D7_1001600,PF3D7_1027900,PF3D7_1038900,PF3D7_1114800,PF3D7_1115900,PF3D7_1121000,PF3D7_1124600,PF3D7_1126600,PF3D7_1212500,PF3D7_1216200,PF3D7_1252600,PF3D7_1315600,PF3D7_1316600,PF3D7_1318200,PF3D7_1321400,PF3D7_1322500,PF3D7_1324700,PF3D7_1343000,PF3D7_1347700,PF3D7_1358000,PF3D7_1366800,PF3D7_1401500,PF3D7_1401800,PF3D7_1406300,PF3D7_1409900,PF3D7_1444300,PF3D7_1471400,PF3D7_1476700,PF3D7_1476800,"
ec00950__PK__KEGG	"PF3D7_0202900,PF3D7_0204500,PF3D7_0215900,PF3D7_0218300,PF3D7_0219100,PF3D7_0303400,PF3D7_0407100,PF3D7_0409300,PF3D7_0422000,PF3D7_0528400,PF3D7_0609800,PF3D7_0622200,PF3D7_0622500,PF3D7_0626100,PF3D7_0714300,PF3D7_0805400,PF3D7_0821500,PF3D7_0908600,PF3D7_0912800,PF3D7_0914200,PF3D7_0914300,PF3D7_0916500,PF3D7_0916600,PF3D7_0918800,PF3D7_0925200,PF3D7_0932500,PF3D7_1018600,PF3D7_1020400,PF3D7_1022100,PF3D7_1027200,PF3D7_1027900,PF3D7_1115900,PF3D7_1119100,PF3D7_1121000,PF3D7_1129400,PF3D7_1133800,PF3D7_1145700,PF3D7_1230600,PF3D7_1235500,PF3D7_1236700,PF3D7_1246500,PF3D7_1248100,PF3D7_1249900,PF3D7_1309600,PF3D7_1321400,PF3D7_1322500,PF3D7_1324700,PF3D7_1332500,PF3D7_1354300,PF3D7_1406900,PF3D7_1407100,PF3D7_1411700,PF3D7_1414500,PF3D7_1415800,PF3D,"
ec00860__PK__KEGG	"PF3D7_0218300,PF3D7_0219100,PF3D7_0407100,PF3D7_0409300,PF3D7_0519300,PF3D7_0602500,PF3D7_0607300,PF3D7_0621200,PF3D7_0622200,PF3D7_0622500,PF3D7_0821500,PF3D7_0826400,PF3D7_0908600,PF3D7_0912800,PF3D7_0914300,PF3D7_0916500,PF3D7_0916600,PF3D7_0918800,PF3D7_0925200,PF3D7_1011900,PF3D7_1018600,PF3D7_1020400,PF3D7_1022100,PF3D7_1027200,PF3D7_1028100,PF3D7_1119100,PF3D7_1128400,PF3D7_1129400,PF3D7_1133800,PF3D7_1142400,PF3D7_1145700,PF3D7_1203600,PF3D7_1209600,PF3D7_1224600,PF3D7_1230600,PF3D7_1235500,PF3D7_1236700,PF3D7_1246100,PF3D7_1246500,PF3D7_1248100,PF3D7_1249900,PF3D7_1309600,PF3D7_1323000,PF3D7_1331600,PF3D7_1332500,PF3D7_1349200,PF3D7_1354300,PF3D7_1357200,PF3D7_1364900,PF3D7_1406900,PF3D7_1407100,PF3D7_1411700,PF3D7_1415800,PF3D7_1429400,PF3D7_1439700,PF3D7_1440300,PF3D7_1450600,PF3D7_1455200,"
ec00350__PK__KEGG	"PF3D7_0202900,PF3D7_0204500,PF3D7_0215000,PF3D7_0215900,PF3D7_0218300,PF3D7_0303400,PF3D7_0407100,PF3D7_0409300,PF3D7_0528400,PF3D7_0609800,PF3D7_0619500,PF3D7_0622200,PF3D7_0622500,PF3D7_0714300,PF3D7_0805400,PF3D7_0821500,PF3D7_0908600,PF3D7_0912800,PF3D7_0914200,PF3D7_0914300,PF3D7_0916500,PF3D7_0916600,PF3D7_0925200,PF3D7_0932500,PF3D7_1018600,PF3D7_1020400,PF3D7_1022100,PF3D7_1027200,PF3D7_1027900,PF3D7_1115900,PF3D7_1119100,PF3D7_1121000,PF3D7_1129400,PF3D7_1133800,PF3D7_1145700,PF3D7_1229400,PF3D7_1230600,PF3D7_1235500,PF3D7_1236700,PF3D7_1246500,PF3D7_1248100,PF3D7_1249900,PF3D7_1309600,PF3D7_1321400,PF3D7_1322500,PF3D7_1323000,PF3D7_1324700,PF3D7_1331600,PF3D7_1332500,PF3D7_1354300,PF3D7_1406900,PF3D7_1407100,PF3D7_1411700,PF3D7_1415800,PF3D7_1429400,PF3D7_1439700,PF3D7_1450600,PF3D7_1455200,"
ec00360__PK__KEGG	"PF3D7_0202900,PF3D7_0204500,PF3D7_0215900,PF3D7_0218300,PF3D7_0303400,PF3D7_0407100,PF3D7_0409300,PF3D7_0528400,PF3D7_0609800,PF3D7_0622200,PF3D7_0622500,PF3D7_0714300,PF3D7_0805400,PF3D7_0821500,PF3D7_0908600,PF3D7_0912800,PF3D7_0914200,PF3D7_0914300,PF3D7_0916500,PF3D7_0916600,PF3D7_0925200,PF3D7_0932500,PF3D7_1017200,PF3D7_1018600,PF3D7_1020400,PF3D7_1022100,PF3D7_1027200,PF3D7_1027900,PF3D7_1115900,PF3D7_1119100,PF3D7_1121000,PF3D7_1129400,PF3D7_1133800,PF3D7_1145700,PF3D7_1229400,PF3D7_1230600,PF3D7_1235500,PF3D7_1236700,PF3D7_1246500,PF3D7_1248100,PF3D7_1249900,PF3D7_1309600,PF3D7_1321400,PF3D7_1322500,PF3D7_1324700,PF3D7_1332500,PF3D7_1354300,PF3D7_1406900,PF3D7_1407100,PF3D7_1411700,PF3D7_1414500,PF3D7_1415800,PF3D7_1425200,PF3D7_1429400,PF3D7_1439700,PF3D7_1450600,PF3D7_1455200,"
