[Gene ID]	[Organism]	[Product Description]	
PF3D7_0100100	P. falciparum 3D7	erythrocyte membrane protein 1, PfEMP1 (VAR)	
PF3D7_0100300	P. falciparum 3D7	erythrocyte membrane protein 1, PfEMP1 (VAR)	
PF3D7_0100500	P. falciparum 3D7	erythrocyte membrane protein 1 (PfEMP1), exon 1, pseudogene	
PF3D7_0101500	P. falciparum 3D7	erythrocyte membrane protein 1 (PfEMP1), exon 2, pseudogene (VAR)	
PF3D7_0101700	P. falciparum 3D7	erythrocyte membrane protein 1 (PfEMP1), exon 2, pseudogene (VAR)	
PF3D7_0114400	P. falciparum 3D7	erythrocyte membrane protein 1 (PfEMP1), exon 2, pseudogene (VAR)	
PF3D7_0115500	P. falciparum 3D7	erythrocyte membrane protein 1 (PfEMP1), pseudogene	
PF3D7_0115700	P. falciparum 3D7	erythrocyte membrane protein 1, PfEMP1 (VAR)	
PF3D7_0200100	P. falciparum 3D7	erythrocyte membrane protein 1, PfEMP1 (VAR)	
PF3D7_0200300	P. falciparum 3D7	erythrocyte membrane protein 1 (PfEMP1), exon 2	
PF3D7_0200800	P. falciparum 3D7	erythrocyte membrane protein 1 (PfEMP1), exon 2, pseudogene	
PF3D7_0221900	P. falciparum 3D7	erythrocyte membrane protein 1 (PfEMP1), pseudogene	
PF3D7_0222900	P. falciparum 3D7	erythrocyte membrane protein 1 (PfEMP1), exon 2, pseudogene (VAR)	
PF3D7_0223300	P. falciparum 3D7	erythrocyte membrane protein 1 (PfEMP1), exon 2	
PF3D7_0223500	P. falciparum 3D7	erythrocyte membrane protein 1, PfEMP1 (VAR)	
PF3D7_0300100	P. falciparum 3D7	erythrocyte membrane protein 1, PfEMP1 (VAR)	
PF3D7_0300300	P. falciparum 3D7	erythrocyte membrane protein 1 (PfEMP1), exon 2, pseudogene (VAR)	
PF3D7_0302300	P. falciparum 3D7	erythrocyte membrane protein 1 (PfEMP1), pseudogene	
PF3D7_0323900	P. falciparum 3D7	erythrocyte membrane protein 1 (PfEMP1), exon 2, pseudogene (VAR)	
PF3D7_0324700	P. falciparum 3D7	erythrocyte membrane protein 1 (PfEMP1), exon 2, pseudogene (VAR)	
