Transcript,0.5,0.6,0.65,0.7,0.75,0.8,0.85,0.9,0.95,0.97
SFC-21_S22_L002_Contig2706_frame_2_CIDRb1_domNum4,770,1061,1193,1322,1401,1441,1499,1605,1792,2046
IFM050_S11_Contig2290_frame_-2_CIDRg2_domNum4,674,966,1094,1216,1281,1320,1367,1455,1653,1865
IFM047_S10_Contig1416_frame_1_DBLa1.2_domNum2,310,485,569,616,641,653,665,694,721,2224
SFC-18_S20_L002_Contig1729_frm-1_orf4_CIDRa2.1_domNum3,757,1057,1190,1317,1410,1450,1513,1594,1802,2048
IFM050_S11_Contig3776_frame_-1_DBLa0.23_domNum2,217,348,415,441,450,456,473,484,498,532
IFM050_S11_Contig3446_frame_-1_CIDRb1_domNum4,881,1212,1330,1445,1524,1615,1674,1773,1961,2184
IFC66_S31_L002_Contig1324_frame_1_DBLd1_domNum3,28,30,31,31,31,33,33,32,35,34
SFC15-CM_S29_L002_Contig1490_frame_2_DBLg10_domNum1,416,618,690,750,793,804,822,863,904,1649
IFM57_S30_L002_Contig850_frame_3_CIDRa2.1_domNum3,972,1280,1419,1559,1657,1718,1780,1870,2080,2363
SFC22_S9_L001_Contig2847_frame_2_CIDRa1.1_domNum3,837,1163,1289,1420,1496,1538,1600,1700,1903,2166
SFM-8_S8_L001_Contig3608_frame_-1_DBLz5_domNum2,286,418,466,499,511,522,529,548,565,593
SFM-7_S13_L001_Contig1897_frm3_orf11_DBLb12_domNum4,171,246,257,264,268,266,271,286,294,4630
IFM058_S13_Contig887_frame_3_DBLz2_domNum2,254,394,436,455,470,481,493,513,517,542
SFU2_S5_L001_Contig1450_frame_-2_DBLd1_domNum1,215,273,281,292,296,298,305,318,329,339
IFM061_S15_Contig1007_frame_-2_DBLa0.13_domNum1,222,328,345,357,365,369,379,395,406,423
IFM57_S30_L002_Contig1691_frame_-3_DBLe6_domNum1,484,725,809,892,939,962,987,2689,3213,3820
IFC66_S31_L002_8505_soapGraphK51_frame_1_DBLd4_domNum1,90,1310,1441,1593,1683,1748,1808,1910,3011,3565
IFM047_S10_Contig1023_frame_3_CIDRg5_domNum2,642,926,1047,1163,1225,1265,1317,1399,1579,1793
IFM050_S11_Contig3729_frame_3_DBLd1_domNum1,23,1498,1674,1866,1993,2096,2199,2369,2746,3203
SFC-21_S22_L002_Contig1589_frame_3_DBLa0.11_domNum1,247,1136,1263,1399,1451,1495,1583,1661,1846,2129
SFU2_S5_L001_Contig1707_frame_-3_DBLg10_domNum2,348,522,700,757,795,813,835,871,917,978
IFM047_S10_Contig1658_frame_1_DBLd1_domNum1,34,36,36,36,37,38,39,40,41,748
SXC2_S4_L001_Contig1909_frame_3_DBLg16_domNum2,456,682,761,833,881,897,921,968,1031,1124
SFC-18_S20_L002_Contig1913_frame_2_DBLd1_domNum1,164,196,201,202,204,203,211,220,226,236
SFM-1_S11_L001_5116_soapGraphK61_frame_-1_DBLd1_domNum3,99,117,121,121,122,124,128,132,139,143
SXC2_S4_L001_Contig1681_frame_-1_DBLa0.13_domNum1,222,328,345,1724,1827,1901,1978,2100,2369,2717
SFC17_S7_L001_5529_soapGraphK61_frame_1_DBLg3_domNum1,390,575,642,694,730,743,762,795,2419,2800
SFU-3_S21_L002_Contig564_frame_3_DBLe13_domNum3,336,585,672,728,766,782,798,831,874,931
IFM050_S11_Contig2306_frm-2_orf5_DBLa1.1_domNum2,309,476,532,569,592,599,612,632,657,686
SFM-3_S12_L001_Contig616_frm3_orf7_CIDRb1_domNum7,705,1024,1146,1277,1347,1393,1437,1530,1740,1954
SFC14_S17_L001_Contig1763_frame_-2_DBLd1_domNum2,37,39,40,40,40,41,42,43,45,45
SFM-8_S8_L001_10484_soapGraphK61_frame_-2_DBLa1.2_domNum2,309,460,538,581,602,615,626,650,670,703
IFM050_S11_Contig1146_frm-2_orf1_DBLa0.17_domNum2,1011,1328,1463,1618,1704,1767,1829,1934,2155,2430
IFM-049_S6_Contig41147_frm-3_orf14_DBLg13_domNum4,391,576,641,785,825,844,865,906,960,1032
IFM57_S30_L002_Contig1715_frame_2_CIDRb1_domNum2,909,1241,1352,1550,1621,1697,1737,1854,2047,2335
SXC2_S4_L001_Contig581_frame_2_DBLe6_domNum1,529,774,858,1780,1893,1977,2072,2205,3515,4240
SFC22_S9_L001_Contig2985_frame_2_DBLg2_domNum5,426,640,710,773,815,837,855,897,942,1015
IFM047_S10_Contig1444_frame_1_DBLz2_domNum1,180,212,223,222,226,229,236,238,3508,4224
IFM27_S9_Contig508_frame_1_CIDRa2.3_domNum2,1202,1631,1846,2071,2239,2382,2526,2754,3291,3928
SFC17_S7_L001_Contig2012_frame_-2_CIDRa2.3_domNum2,649,940,1062,1176,1246,1285,1335,1417,1600,1819
IFM-049_S6_Contig323_frame_-3_CIDRa5_domNum2,842,1170,1271,1425,1491,1553,1616,1697,1925,3724
IFM-049_S6_Contig41041_frame_3_CIDRb5_domNum2,1057,1381,1523,1682,1777,1849,1919,2035,2275,2596
SFC13_S23_L002_Contig2129_frame_-3_DBLd1_domNum1,34,36,36,36,37,38,39,40,41,41
SFU2_S5_L001_Contig1725_frame_-2_CIDRa5_domNum3,823,1122,1234,1394,1444,1512,1572,1664,1857,2094
IFM050_S11_Contig3436_frame_3_DBLz5_domNum2,263,377,408,428,429,438,454,463,481,507
SFM-3_S12_L001_Contig2007_frame_-3_DBLg4_domNum4,411,609,677,736,776,788,810,840,886,952
SFM-10_S1_L001_Contig2284_frame_-1_CIDRb1_domNum1,966,1281,1413,1563,1646,1719,1762,1879,2295,2606
IFM12_S16_Contig848_frame_2_CIDRb1_domNum3,908,1183,1332,1456,1532,1582,1648,1744,1941,2192
IFM047_S10_Contig1674_frame_2_DBLz2_domNum4,254,349,373,438,451,457,466,487,505,530
SFM-1_S11_L001_Contig1585_frame_-2_CIDRa2.9_domNum1,553,816,1619,1800,1917,2009,2096,2240,2570,2974
SFM-8_S8_L001_Contig1518_frame_1_CIDRb6_domNum2,955,1267,1404,1552,1626,1699,1738,1858,2064,2323
IFM-049_S6_Contig41066_frame_-1_CIDRa2.7_domNum2,812,1125,1251,1389,1474,1529,1570,1666,1858,2089
IFM050_S11_Contig3790_frame_3_CIDRb1_domNum2,669,962,1075,1203,1261,1301,1354,1441,1623,1859
SFM-8_S8_L001_10408_soapGraphK61_frame_-3_CIDRa2.4_domNum2,851,1156,1268,1401,1514,1569,1608,1694,1926,2153
SFC-21_S22_L002_Contig2677_frame_-2_CIDRg10_domNum1,1190,1615,1826,2051,2210,2345,2481,2705,3214,3836
IFD6_S1_Contig941_frame_-2_DBLd1_domNum2,28,30,31,31,31,33,33,32,103,106
SFC14_S17_L001_Contig2179_frame_-2_DBLb5_domNum3,171,201,208,208,213,210,221,228,232,242
SFM-6_S3_L001_Contig2020_frame_2_DBLd1_domNum2,87,98,98,101,725,740,756,784,819,874
IFM061_S15_Contig999_frame_2_CIDRb1_domNum2,705,1024,1146,1277,1347,1393,1437,1530,1740,1954
IFM047_S10_Contig714_frame_2_DBLe5_domNum2,470,700,785,859,910,930,957,1010,1090,1206
IFM27_S9_Contig623_frm3_orf0_DBLd4_domNum2,343,516,576,626,905,929,949,1005,1085,1198
SFC-21_S22_L002_Contig2157_frame_3_DBLa0.9_domNum1,271,449,500,539,559,564,578,601,621,646
SFM-1_S11_L001_Contig1854_frame_1_DBLg3_domNum4,394,581,647,697,737,753,768,804,841,891
IFM53_S14_L001_Contig1669_frame_-3_DBLe5_domNum2,470,700,785,859,910,930,957,1010,1090,1206
SFC19_S24_L002_Contig720_frm3_orf4_DBLd4_domNum5,283,413,453,481,499,501,521,536,556,586
IFD6_S1_Contig365_frame_2_DBLe6_domNum1,478,715,797,875,933,958,984,1041,1121,1241
SFC17_S7_L001_Contig1425_frame_-3_DBLg3_domNum1,390,575,642,694,730,743,762,795,2408,2784
IFM26_S8_Contig444_frame_-1_CIDRa2.6_domNum1,1083,1415,1560,1730,1829,1912,1991,2116,2390,2749
SFC-023_S32_L002_Contig1156_frame_-3_CIDRa1.4_domNum2,818,1134,1236,1376,1453,1513,1584,1685,1859,2095
SFM-7_S13_L001_5268_soapGraphK61_frame_-1_DBLd1_domNum4,135,159,163,167,165,169,171,175,185,193
SFM-10_S1_L001_Contig2570_frame_3_DBLz4_domNum2,263,374,401,424,2285,2441,2589,2840,3414,4088
IFM050_S11_Contig3707_frame_2_CIDRa3.1_domNum1,582,843,1770,1983,2133,2257,2374,2577,3044,3597
IFM061_S15_Contig494_frame_3_DBLd1_domNum4,69,75,76,77,76,79,80,82,85,86
SXC2_S4_L001_Contig1434_frame_3_DBLd1_domNum2,232,304,313,328,330,334,341,360,365,386
IFM047_S10_Contig1549_frm3_orf4_DBLa0.9_domNum2,294,433,483,513,529,540,553,574,590,615
IFM57_S30_L002_Contig1547_frame_-1_DBLa0.10_domNum2,273,405,447,1158,1227,1272,1313,1403,1565,1782
SFM-8_S8_L001_Contig3152_frame_2_CIDRa2.4_domNum2,851,1156,1268,1401,1514,1569,1608,1694,1926,2153
